Incident Types,Reported Date,Nearest Populated Centre,Province,Company,Latitude,Longitude,Substance,Release Type,Significant,Year,Occurrence Date and Time,Discovered Date and Time,Detailed what happened,What happened category,Detailed why it happened,Why it happened category,Activity being performed at time of incident,How the incident was discovered,Closed Date,Pipeline or facility equipment involved,Rupture,Incident type,Released substance type,Released volume (m3),Pipe body release,Residual effects on the environment,Source of Explosion,Source of Fire,Activity at time of fatality,Number of fatalities,Type of Injury,Number of individuals injured,Country,Affects Company Property,Off Company Property,Affects Pipeline right-of-way,Affects off Pipeline right-of-way,Emergency Level,Equipment or component involved,Repair type,Repair date,Equipment or component has never been inspected,Type of most recent inspection,Most recent inspection part of the routine inspection program,No maintenance done on this equipment or component,Date of the most recent maintenance work for the failed equipment or component,Most recent maintenance Type
Release of Substance,1/2/2008,Grande Prairie,Alberta,Alliance Pipeline Ltd.,54.84,-118.65,Natural Gas - Sweet,Gas,No,2008,2007/12/27 02:00:00 PM Mountain,2007/12/27 02:00:00 PM Mountain,"Damage or deterioration mechanism, Cracking, Corrosion Fatigue",Corrosion and Cracking,"Job or system factors, Excessive wear and tear, Improper loading or rate of use",Maintenance,Operation,,7/23/2012,No,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Compression, Pipe",Replacement,12/27/2007,No,,No,No,12/27/2007,Replacement
Release of Substance,1/2/2008,Cromer,Manitoba,Enbridge Pipelines Inc.,49.753,-101.239,Crude Oil - Sweet,Liquid,No,2008,2008/01/02 11:30:00 AM Central,2008/01/02 11:30:00 AM Central,"Damage or deterioration mechanism, Material Loss, Internal Material Loss",Corrosion and Cracking,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Operation,Employee / Contractor (Onsite),1/11/2011,Yes,No,Release of Substance,Crude Oil - Sweet,8,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Pumping, Flange, Gasket/O-ring",Type B Sleeve (Pressure Containing),1/11/2008,No,,No,No,1/11/2008,Repair
Release of Substance,1/23/2008,Cromer,Manitoba,Enbridge Pipelines Inc.,49.754,-101.237,Crude Oil - Sweet,Liquid,No,2008,2008/01/23 06:05:00 AM Mountain,2008/01/23 06:05:00 AM Mountain,"Damage or deterioration mechanism, Equipment, Gasket/O-ring",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate reparative, Part substitution",Maintenance,Operation,Employee / Contractor (Onsite),8/10/2011,Yes,No,Release of Substance,Crude Oil - Sweet,100,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Pumping, Flange, Gasket/O-ring",Replacement,1/24/2008,No,,No,No,,Replacement
Release of Substance,1/29/2008,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",58.012,-122.694333,Natural Gas - Sweet,Gas,No,2008,2008/01/26 10:45:00 AM Pacific,2008/01/26 10:45:00 AM Pacific,"Damage or deterioration mechanism, Construction, Defective Other Joint",Defect and Deterioration,"Job or system factors, Inadequate maintenance, Inadequate preventive, Lubrication and servicing",Maintenance,Operation,Employee / Contractor (Onsite),7/27/2012,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Compression, Flange",,,No,,No,No,,
"Release of Substance, Adverse Environmental Effects",1/29/2008,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",56.14377,-120.51605,Potassium Hydroxide (caustic solution),Miscellaneous,Yes,2008,2008/01/27 12:01:00 AM Mountain,2008/01/27 12:01:00 AM Mountain,"Damage or deterioration mechanism, Other Causes, Control System Malfunction",Equipment Failure,"Job or system factors, Inadequate tools and equipment, Inadequate adjustment or repair or maintenance;Job or system factors, Excessive wear and tear, Improper extension of service life;Job or system factors, Inadequate work standards, Inadequate development of standards, Inventory and evaluation of exposures and needs","Maintenance, Standards and Procedures, Tools and Equipment",Operation,,11/13/2012,Yes,No,"Adverse Environmental Effects, Release of Substance",Potassium Hydroxide (caustic solution),0,No,Yes,,,,,,,Canada,No,No,No,No,Level I,,,,No,,No,No,,
Release of Substance,2/23/2008,Beiseker,Alberta,Foothills Pipe Lines Ltd.,51.385029,-113.535263,Natural Gas - Sweet,Gas,No,2008,2008/02/22 12:00:00 AM Mountain,2008/02/23 12:00:00 AM Mountain,"Damage or deterioration mechanism, Material or Manufacturing, Defective Pipe or Component Body",Defect and Deterioration,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Operation,Employee / Contractor (Onsite),7/27/2012,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,Canada,No,No,Yes,No,Level I,"Pipeline, Valve, Ball, Bonnet",Rebuilt,3/25/2008,No,,No,No,3/25/2008,Repair
Release of Substance,2/25/2008,Moosomin,Saskatchewan,TransCanada PipeLines Limited,50.20739,-101.48731,Natural Gas - Sweet,Gas,No,2008,2008/02/25 12:00:00 AM Mountain,2008/02/25 08:09:00 AM Mountain,"Damage or deterioration mechanism, Other Causes, Improper Operation",Incorrect Operation,"Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules",Standards and Procedures,Construction,Employee / Contractor (Onsite),1/19/2011,Yes,No,Release of Substance,Natural Gas - Sweet,100,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Pipeline, Fitting, Tee, Body",,,No,,No,No,,
Release of Substance,3/3/2008,Dryden,Ontario,TransCanada PipeLines Limited,49.7894,-92.76549,Natural Gas - Sweet,Gas,No,2008,2008/03/02 10:30:00 AM Eastern,2008/03/02 10:30:00 AM Eastern,"Damage or deterioration mechanism, Cracking, Corrosion Fatigue",Corrosion and Cracking,"Job or system factors, Excessive wear and tear, Improper loading or rate of use",Maintenance,Operation,Employee / Contractor (Onsite),7/27/2012,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Compression, Compressor",Replacement,3/13/2008,No,,No,No,3/13/2008,Replacement
Release of Substance,3/3/2008,Smooth Rock Falls,Ontario,TransCanada PipeLines Limited,49.30391,-82.04386,Natural Gas - Sweet,Gas,No,2008,2008/03/01 04:45:00 PM Mountain,2008/03/01 04:45:00 PM Mountain,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Operation,Public,1/19/2011,No,No,Release of Substance,Natural Gas - Sweet,18,No,No,,,,,,,Canada,No,No,Yes,No,Level I,,Replacement,,No,,No,No,,Replacement
Release of Substance,3/14/2008,Rapid City,Manitoba,TransCanada PipeLines Limited,50.07673,-99.99864,Natural Gas - Sweet,Gas,No,2008,2008/03/14 01:30:00 PM Central,2008/03/14 01:30:00 PM Central,"Damage or deterioration mechanism, Cracking, Corrosion Fatigue",Corrosion and Cracking,"Job or system factors, Excessive wear and tear, Improper loading or rate of use",Maintenance,Operation,Employee / Contractor (Onsite),7/23/2012,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Pipeline, Pipe, Body;Station/Facility, Compression, Piping, Weld",Replacement,,No,,No,No,,Replacement
